StartDate,search,queries_1,queries_2,queries_3,news freq,age,gender,politics,education
2022-02-17 11:09:58,Yes,JOHN F. KENNEDY'S ASSASSINATION,ROSWELL CRASH & COVER-UP,PROTOCOLS OF THE ELDERS OF ZION,7,30-39,Male,Moderate/centrist,High school
2022-02-18 7:46:31,Yes,unsolved mysteries,ancient aliens,government coverup,1,40-49,Female,Hard left,Bachelor's degree
2022-02-18 17:53:48,Yes,moon landing hoax,atlantis,jfk ,4,30-39,Male,Lean right,High school
2022-02-18 18:22:28,No,covid origins,vaccine tracking,nazi moon bases,8,40-49,Male,Lean left,Bachelor's degree
2022-02-18 18:52:19,Yes,Reptilians,Illuminati,Jews are aliens,6,30-39,Male,Hard right,Bachelor's degree
2022-02-18 21:58:23,Yes,Government did 911,Fake moon landing ,Plandemic,7,30-39,Male,Lean right,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-02-18 23:11:22,Yes,China tik tok dumbing down other countries,USA democrats are owned by chinese,JFK was assassinated by powerful forces in the government for regime change,9,30-39,Male,Lean right,Less than high school
2022-02-19 4:40:13,Yes,Cryptids,David Paulides,Freemasons,4,40-49,Male,Lean right,Bachelor's degree
2022-02-19 6:49:24,Yes,moon landing is not real,vaccines causes autism,911 was an inside job,8,40-49,Male,Hard left,Bachelor's degree
2022-02-19 7:18:53,Yes,vaccines,lizard people,truth behind covid,2,40-49,Male,Lean right,Bachelor's degree
2022-02-19 7:40:59,No,antivax,birds,illuminati,1,30-39,Female,Lean left,Bachelor's degree
2022-02-19 8:02:22,No,covid made in lab,covid government lab,covid spread intentionally,0,50-59,Female,Lean left,Bachelor's degree
2022-02-20 19:18:51,No,aliens,5g towers,mole people,5,30-39,Male,Lean left,High school
2022-02-21 8:57:59,,"Ivermectin truly helps with COVID, but government is covering it up",JFK was killed by multiple people,"Martin Luther King, Jr. was killed by US government",6,40-49,Female,Lean right,Bachelor's degree
2022-02-14 16:41:02,Yes,9/11 let it happen on purpose,covid fauci gain of function,comet pizza paintings,2,40-49,Male,Hard right,Associate's degree
2022-02-21 15:07:54,Yes,hollow moon,faked moon landing,single JFK shooter,3,40-49,Male,Hard left,Bachelor's degree
2022-02-22 14:00:07,No,fake moon landing,JFK second shooter,Area 51 aliens,3,40-49,Female,Moderate/centrist,Bachelor's degree
2022-02-22 14:00:12,Yes,The magic bullet theory,911 building collapse,The gulf of Tonkin incident,8,40-49,Male,Hard left,High school
2022-02-22 14:13:24,Yes,Moon landing was fake,Bill gates weather control,Chemtrails population control,10,40-49,Male,Moderate/centrist,Bachelor's degree
2022-02-22 14:06:29,Yes,aliens,jfk assassination,9-11 hoax,3,40-49,Male,Moderate/centrist,Bachelor's degree
2022-02-22 14:56:01,Yes,conspiracy video,unexplained videos,unsolved mysteries,0,30-39,Male,Moderate/centrist,Bachelor's degree
2022-02-22 15:02:06,Yes,ufo sightings,cryptids,government coverups,4,30-39,Male,Lean left,Bachelor's degree
2022-02-22 17:54:56,Yes,government conspiracy,JFK's assassination,alien conspiracy,8,50-59,Female,Lean left,Associate's degree
2022-02-23 7:01:54,Yes,Princess Diana's Death ,Holocaust myths,JFK's Assignation ,3,40-49,Female,Moderate/centrist,Associate's degree
2022-02-23 11:42:22,No,moon landing fake,lizard people,luminate ,1,40-49,Female,Moderate/centrist,Associate's degree
2022-02-23 17:32:12,Yes,moon landing conspiracy,JFK assassination hoax,9/11 government conspiracy,6,50-59,Female,Lean right,Bachelor's degree
2022-02-27 11:57:32,Yes,Vaccinations,School Shootings,Moon Landing,4,18-29,Male,Hard left,Bachelor's degree
2022-02-27 11:57:39,No,Biden lost ,Election tampering ,Trump won 2021,0,50-59,Female,Hard left,Bachelor's degree
2022-02-27 11:58:33,Yes,UFOs,Bigfoot,Secret government facilities,1,50-59,Male,Lean left,Bachelor's degree
2022-02-27 12:12:52,Yes,Kubrick faked moon landing,JFK assassination conspiracy,Loch Ness monster evidence,3,30-39,Male,Hard left,High school
2022-02-27 12:16:03,No,moon landing fake,JFK assassination truth,Area 41,2,40-49,Female,Lean left,High school
2022-02-27 12:19:14,Yes,illuminate,conspiracy theories ,Society conspiracies  ,10,40-49,Female,Hard right,Associate's degree
2022-02-27 12:22:20,No,9/11 was an inside job,Crisis actors in school shooting,Government controlling the population by releasing deadly viruses,7,30-39,Female,Hard left,High school
2022-02-27 17:39:54,Yes,jfk,aliens,conspiracy,7,30-39,Male,Lean right,High school
2022-02-27 22:24:24,Yes,moon landing hoax,president body double,stock market scam,10,30-39,Male,Moderate/centrist,Less than high school
2022-03-01 19:10:35,Yes,kennedy death,deep state,q anon,2,50-59,Female,Hard right,High school
2022-03-01 19:27:29,Yes,Who really killed Kennedy?,Do aliens exist?,Was the ping pong ball that David Stern chose when Patrick Ewing was in the draft frozen beforehand?,3,40-49,Male,Moderate/centrist,Bachelor's degree
2022-03-01 19:38:54,Yes,marilyn monroe and the kennedy's,lizard people,moon landing,3,40-49,Female,Moderate/centrist,Bachelor's degree
2022-03-02 13:37:23,Yes,moon landing fake,aliens pyramids,vaccine misinformation,2,40-49,Female,Hard left,Bachelor's degree
2022-03-02 17:38:31,Yes,9/11,Ghosts,MLB Rigged,5,30-39,Male,Moderate/centrist,Associate's degree
2022-03-04 9:10:03,Yes,Identifying conspiracy theories,psychological research on how conspiracy theories start,Expert guide to conspiracy theories,5,60+,Female,Moderate/centrist,High school
2022-03-04 20:13:07,Yes,aliens,area 51,unknown,5,40-49,Female,Moderate/centrist,Bachelor's degree
2022-03-04 21:19:11,Yes,UFO,9-11,JFK,10,50-59,Female,Lean right,Bachelor's degree
2022-03-05 5:13:41,Yes,9/11/2001,sandy hook,2020 vote,4,50-59,Male,Lean right,High school
2022-03-06 18:10:02,Yes,911,Election,Trump ,7,40-49,Female,Moderate/centrist,High school
2022-03-07 15:38:29,Yes,JFK,New World Order,false flag,2,40-49,Male,Lean left,Bachelor's degree
2022-03-07 15:42:46,Yes,9/11,5g,aliens,5,30-39,Female,Lean left,Bachelor's degree
2022-03-07 15:51:55,Yes,moon landing fake,jfk conspiracy,covid vaccine conspiracy,9,60+,Female,Lean left,Associate's degree
2022-03-07 19:33:33,Yes,Did we land on the moon,Who killed JFK,Is Epstein alive?,4,40-49,Male,Lean right,Bachelor's degree
2022-03-07 21:50:03,No,911,covid,natural disasters,0,50-59,Female,Hard left,High school
2022-03-08 1:08:01,Yes,UFO Disclosure,Ancient Aliens,CIA False Flags,1,30-39,Male,Hard right,High school
2022-03-10 14:59:35,Yes,illuminati runs the world,secret societies,do aliens exist,9,30-39,Male,Lean right,Bachelor's degree
2022-03-12 16:04:47,,bigfoot videos,chemtrail evidence,government chip evidence,0,30-39,Female,Lean left,Bachelor's degree
2022-03-12 16:07:14,Yes,9/11,annunaki,aliens,6,30-39,Male,Lean right,High school
2022-03-12 16:15:43,Yes,flat earth,qanon,fake moon landing,6,30-39,Female,Lean left,Bachelor's degree
2022-03-12 16:16:35,No,election interference,voter fraud,voter interference,1,60+,Female,Lean right,High school
2022-03-12 16:38:37,Yes,area 51,aliens area 51,conspiracy area 51,3,50-59,Female,Lean left,Associate's degree
2022-03-12 16:47:00,Yes,9/11 theories,roswell aliens,cia alien coverup,0,30-39,Male,Hard left,High school
2022-03-12 17:23:21,Yes,2020 election,Alex Jones,Tucker Carlson,7,60+,Female,Hard left,High school
2022-03-12 17:24:42,Yes,fake news,vaxxer,sheep,8,60+,Female,Lean left,High school
2022-03-12 17:27:24,No,Moon landing faked,JFK Murder,Covid and 5G,2,40-49,Female,Lean left,Associate's degree
2022-03-12 17:35:04,No,conspiracy,political ,plot,1,60+,Female,Lean right,Bachelor's degree
2022-03-12 17:38:59,No,JFK assassination,Dorothy Kilgallen cause of death,existence of aliens,0,60+,Female,Lean left,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-03-12 18:09:08,,vaccination fears,migrant caravan,JFK assassination,2,60+,Female,Hard left,Bachelor's degree
2022-03-12 18:42:14,No,911 conspiracy,JFK conspriracy,Trump Russia conspiracy,4,30-39,Female,Lean right,High school
2022-03-12 18:51:09,Yes,National Security Agency,Project Bluebook,Project MK Ultra,9,30-39,Male,Lean left,Bachelor's degree
2022-03-12 19:09:23,Yes,moon landing,aliens,JFK,1,30-39,Female,Hard left,Associate's degree
2022-03-12 19:30:00,No,aliens,tupac death,hitler death,9,30-39,Female,Moderate/centrist,Associate's degree
2022-03-12 19:29:17,Yes,Qanon,conspiracy theories,TRump ateers,4,50-59,Male,Lean left,High school
2022-03-13 6:04:15,No,covid hoax,moon landing not real,vaccines have microchips,0,30-39,Female,Hard left,High school
2022-03-13 6:22:53,No,QAnon,Nazis on the moon,Roswell Area 51,1,50-59,Male,Hard left,Bachelor's degree
2022-03-13 8:11:12,Yes,J.F. Kennedy assination,hidden facts of murder,Conspiracy,4,60+,Female,Hard right,High school
2022-03-13 8:26:56,Yes,Q ANON,WUHAN LAB,Q,6,50-59,Female,Lean right,High school
2022-03-13 9:42:50,Yes,coronavirus wuhan lab theory,freemasons control government,mh370 missing landed on island,3,30-39,Male,Lean left,Bachelor's degree
2022-03-13 11:42:01,No,elections,trump,celebrity deaths,1,30-39,Female,Prefer not to say,High school
2022-03-13 12:31:03,No,JFK Assassination,Chemtrails,Trump Pee Tape,1,30-39,Male,Lean left,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-03-13 13:55:37,Yes,sandy hook conspiracy,russia voting conspiracy,jeffrey epstein suicide conspiracy,1,30-39,Female,Moderate/centrist,Bachelor's degree
2022-03-13 15:14:02,Yes,government killed JFK,the rich are lizard people,israel controls the usa,6,40-49,Female,Hard left,Associate's degree
2022-03-13 20:40:40,,who killed JFK,was there actually any evidence of 2020 election fraud,does qanon have any actual good theories,2,30-39,Male,Lean left,Bachelor's degree
2022-03-13 23:18:48,No,top secret,lizard people,flat earth,1,40-49,Female,Hard left,High school
2022-03-14 1:10:55,No,vaccine death,votes faked,COVID not real,7,30-39,Female,Moderate/centrist,Associate's degree
2022-03-14 5:04:07,Yes,Princess Diana murder theories,Moon Landing Hoax,Kennedy Assassination theories,2,40-49,Male,Lean left,Bachelor's degree
2022-03-14 5:58:23,No,911 conspiracy theory,alien conspiracy theory,illuminati conspiracy theory,0,40-49,Female,Hard left,Associate's degree
